ALPS.Score,ALPS.Subject,ALPS.Grade
0,MA,9
0.62,MA,8
0.81,MA,7
0.88,MA,6
0.92,MA,5
0.97,MA,4
1,MA,3
1.04,MA,2
1.14,MA,1
0,MF,9
0.41,MF,8
0.81,MF,7
0.9,MF,6
0.95,MF,5
1.01,MF,4
1.05,MF,3
1.12,MF,2
1.27,MF,1
0,MFA,9
0.41,MFA,8
0.81,MFA,7
0.9,MFA,6
0.95,MFA,5
1.01,MFA,4
1.05,MFA,3
1.12,MFA,2
1.27,MFA,1
0,MS,9
0.78,MS,8
0.94,MS,7
0.99,MS,6
1.03,MS,5
1.07,MS,4
1.11,MS,3
1.15,MS,2
1.28,MS,1
0,MT,9
0.43,MT,8
0.68,MT,7
0.77,MT,6
0.84,MT,5
0.92,MT,4
0.98,MT,3
1.08,MT,2
1.25,MT,1
0,MU,9
0.49,MU,8
0.71,MU,7
0.8,MU,6
0.86,MU,5
0.92,MU,4
0.97,MU,3
1.05,MU,2
1.23,MU,1
0,PA,9
0.59,PA,8
0.82,PA,7
0.92,PA,6
0.97,PA,5
1.05,PA,4
1.12,PA,3
1.2,PA,2
1.37,PA,1
0,PE,9
0.54,PE,8
0.75,PE,7
0.83,PE,6
0.88,PE,5
0.94,PE,4
0.99,PE,3
1.07,PE,2
1.21,PE,1
0,PH,9
0.47,PH,8
0.71,PH,7
0.79,PH,6
0.83,PH,5
0.88,PH,4
0.92,PH,3
0.98,PH,2
1.1,PH,1
0,PL,9
0.52,PL,8
0.81,PL,7
0.86,PL,6
0.89,PL,5
0.95,PL,4
0.99,PL,3
1.04,PL,2
1.14,PL,1
0,PO,9
0.71,PO,8
0.87,PO,7
0.94,PO,6
0.98,PO,5
1.02,PO,4
1.05,PO,3
1.09,PO,2
1.19,PO,1
0,PT,9
0.69,PT,8
0.9,PT,7
0.99,PT,6
1.05,PT,5
1.1,PT,4
1.16,PT,3
1.23,PT,2
1.39,PT,1
0,PY,9
0.62,PY,8
0.81,PY,7
0.88,PY,6
0.92,PY,5
0.96,PY,4
1,PY,3
1.05,PY,2
1.16,PY,1
0,RE,9
0.67,RE,8
0.84,RE,7
0.9,RE,6
0.96,RE,5
1.01,RE,4
1.05,RE,3
1.1,RE,2
1.22,RE,1
0,SO,9
0.75,SO,8
0.93,SO,7
0.98,SO,6
1.02,SO,5
1.07,SO,4
1.1,SO,3
1.16,SO,2
1.28,SO,1
0,SP,9
0.47,SP,8
0.76,SP,7
0.84,SP,6
0.89,SP,5
0.95,SP,4
0.99,SP,3
1.06,SP,2
1.26,SP,1
0,TT,9
0.54,TT,8
0.83,TT,7
0.9,TT,6
0.97,TT,5
1.03,TT,4
1.07,TT,3
1.13,TT,2
1.27,TT,1
0,VA,9
0.79,VA,8
1.02,VA,7
1.06,VA,6
1.11,VA,5
1.18,VA,4
1.22,VA,3
1.36,VA,2
1.55,VA,1
0,VB,9
0.12,VB,8
0.88,VB,7
0.95,VB,6
0.99,VB,5
1.04,VB,4
1.11,VB,3
1.2,VB,2
1.37,VB,1
0,VH,9
0.71,VH,8
0.81,VH,7
0.9,VH,6
0.95,VH,5
1.01,VH,4
1.07,VH,3
1.12,VH,2
1.32,VH,1
0,XL,9
0.71,XL,8
0.88,XL,7
0.91,XL,6
0.97,XL,5
1.09,XL,4
1.18,XL,3
1.22,XL,2
1.26,XL,1
0,XO,9
0.41,XO,8
0.81,XO,7
0.9,XO,6
0.95,XO,5
1.01,XO,4
1.05,XO,3
1.12,XO,2
1.27,XO,1
0,General,9
0.61,General,8
0.82,General,7
0.89,General,6
0.94,General,5
0.99,General,4
1.04,General,3
1.1,General,2
1.24,General,1
